"HolderAddress","Quantity","PendingBalanceUpdate"
"0x7088611936c77a13b628f94614a15bd84fe6779c","4","No"
"0x41d8115c4f46c8a5ce6d96231273676ac8a14e72","4","No"
"0xc8085c649480c9ee281d1aa76f33270781f5efb7","4","No"
"0x54c2777b824ff9bc4489dfc63727060a7ae71907","4","No"
"0xbffba3cdcdb14785c691744f78daf78cbdb97710","4","No"
"0x0e2eee5f52c63faf984f8ce1839e1b4f07ba88ee","4","No"
"0x1e68448e2752399eb5127fb06d8597ea124547a2","4","No"
"0x329b11115c89000499e07362a3d837951699039f","4","No"
"0x91c4c0b10399571b5b60dc71c5d6097af5dee438","4","No"
"0xb4cce18af157e1553bf5f39c16d010e5901d123c","4","No"
"0x3504cfd4dcd34242284ca36336394048929a29ff","4","No"
"0xfb7381536e10ea0fe804f7a0494bc95f29a9b373","4","No"
"0x4643f166f66578610c04e8c957a77c1fb9a8b472","4","No"
"0xda334b23dcc3b0c1480ae4a5a658652dd669011b","4","No"
"0x915d93a943685149eb88ed2417330d698a0adc35","4","No"
"0x450d444f216e6359e914195dbefb62abb07331f7","4","No"
"0x4a0aca90e91f5e89c2ebabddd7ab222405a7fa95","4","No"
"0xc4dc9ef8763433aae26635bc5a09e362605fad18","4","No"
"0xf9dbd46ec67dad36794fe788c29147e00fc25fe7","3","No"
"0xe819d90f9f835be29bd17e4c2662be0224ae7632","3","No"
"0xbfe384d79969bcb583b8a0e5fedc314aee480e7e","3","No"
"0x0701d19c4d9364b69ca001061ae3ed169a40691b","3","No"
"0x46bfa36e19d7e5baa0a039f7e5868b3592c85be2","3","No"
"0x3ec52292aef4039bcbf00cc10d0dcc4c05676141","3","No"
"0xd4c32a3a6c1900cdb821dcd5a6105f6d0715c93f","3","No"
"0x0f1025f754b3eb32ab3105127b563084bfa03a6f","3","No"
"0x1138fb5d67edfb059a061324e19be601431ac8ff","3","No"
"0x14b95ed55c0825a30c5bf6d4905379e06749b117","3","No"
"0x154bcb3da9fdb57dcc28b440849cb45d0a372e09","3","No"
"0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921","3","No"
"0xa48ae1c287fa6de4581ca3e00f0a481a1ae80778","3","No"
"0x303c223e6acafe204800fea771842cbb421b51d0","3","No"
"0xaf514517e615c1ddc52bbdbf1e1092a8ae136a46","3","No"
"0x70fd4082e65d044bf8d57f64a8875c238f00fb64","3","No"
"0xc2f063a8f9ac5e9e7ed1092238bde34df6f64e80","3","No"
"0xa6f75b3ee93c634c65ff7db86f0263d2dbd54a27","3","No"
"0xbd7fa5b4507a7ffa9f189e637b38eb7aa8775891","3","No"
"0xe6939a804b3c7570ff5f36c1f0d886dad4b4a204","3","No"
"0xc8dd40ba1bdb6a3f956904f02b14db24013b8b5d","3","No"
"0x25aff79e18254a825d6f3e8098400be5d2cdf963","3","No"
"0xa21d4404700b04c07acbbd92933590c58d4b53c5","3","No"
"0x045552f62e40ea814e674613b96e3dd90b828422","3","No"
"0x5bd2843c229165d36ed9fa8558c4fac9d2fcd449","3","No"
"0x5fd9b0b7e15b4d106624ea9cf96602996c9c344d","3","No"
"0xd0c7ae7cbd8eb29c7897e216b054c723a5359ccd","3","No"
"0x1a05c6d8df2ba5229957722f93ff34999b10a895","3","No"
"0x67c7530b9dbfbb29986d0f21147335ade917b1c2","3","No"
"0x6f59e5e7cea55dc812f32434727e494307e054a9","3","No"
